Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cl_R2
3418,0.25,250000,41,0.011526,0.00039238,0.019809,0.999091
3418,0.25,500000,41,0.010138,0.00012952,0.011381,0.99966
3418,0.25,1000000,41,0.011235,0.00019662,0.014022,0.999446
3418,0.25,2000000,41,0.011644,0.00022584,0.015028,0.999347
3418,0.25,4000000,41,0.011747,0.00023085,0.015194,0.999335
3418,0.25,8000000,41,0.009409,0.00015464,0.012435,0.999557
3418,0.35,75000,41,0.011122,0.00034097,0.018465,0.999103
3418,0.35,125000,41,0.018401,0.00074662,0.027324,0.998273
3418,0.35,250000,41,0.009561,0.00026791,0.016368,0.999345
3418,0.35,500000,41,0.008633,0.00015002,0.012248,0.999584
3418,0.35,1000000,41,0.009458,0.00012126,0.011012,0.999635
3418,0.35,2000000,41,0.009635,0.00013317,0.01154,0.999585
3418,0.35,4000000,41,0.009576,0.00014025,0.011843,0.999563
3418,0.35,8000000,41,0.007583,9.92e-05,0.00996,0.999693
3418,0.45,75000,41,0.011456,0.0002412,0.015531,0.999265
3418,0.45,125000,41,0.018884,0.00068565,0.026185,0.998203
3418,0.45,250000,41,0.011795,0.00043958,0.020966,0.99884
3418,0.45,500000,41,0.013686,0.00035429,0.018823,0.99892
3418,0.45,1000000,41,0.011552,0.00020171,0.014203,0.999331
3418,0.45,2000000,41,0.011238,0.00017545,0.013246,0.999392
3418,0.45,4000000,41,0.011791,0.00017684,0.013298,0.999386
3418,0.45,8000000,41,0.011157,0.00017859,0.013364,0.999385
3418,0.55,75000,41,0.014276,0.00029562,0.017194,0.998855
3418,0.55,125000,41,0.016947,0.0004385,0.02094,0.998532
3418,0.55,250000,41,0.009055,0.00013191,0.011485,0.999574
3418,0.55,500000,41,0.012039,0.00020929,0.014467,0.999248
3418,0.55,1000000,41,0.012988,0.0002405,0.015508,0.999055
3418,0.55,2000000,41,0.014605,0.00049143,0.022168,0.997961
3418,0.55,4000000,41,0.012922,0.00027762,0.016662,0.998857
3418,0.55,8000000,41,0.012171,0.00023199,0.015231,0.999051
3418,0.65,75000,41,0.006337,6.11e-05,0.007817,0.999648
3418,0.65,125000,41,0.008221,9.369e-05,0.009679,0.99949
3418,0.65,250000,41,0.010389,0.00016056,0.012671,0.999163
3418,0.65,500000,41,0.009261,0.00012734,0.011285,0.99932
3418,0.65,1000000,41,0.010714,0.00015068,0.012275,0.999164
3418,0.65,2000000,41,0.009942,0.000138,0.011747,0.999221
3418,0.65,4000000,41,0.009647,0.00013653,0.011685,0.999229
3418,0.65,8000000,41,0.009999,0.00015616,0.012496,0.999122
3418,0.7,75000,41,0.010009,0.00014664,0.012109,0.999006
3418,0.7,125000,41,0.011191,0.00016717,0.01293,0.998895
3418,0.7,250000,41,0.012506,0.00023253,0.015249,0.99852
3418,0.7,500000,41,0.01319,0.00025657,0.016018,0.998375
3418,0.7,1000000,41,0.011664,0.00019246,0.013873,0.998756
3418,0.7,2000000,41,0.012479,0.00020332,0.014259,0.998676
3418,0.7,4000000,41,0.011982,0.00019444,0.013944,0.998736
3418,0.7,8000000,41,0.011699,0.00019113,0.013825,0.998763
3418,0.75,75000,41,0.013013,0.00025995,0.016123,0.998296
3418,0.75,125000,41,0.0144,0.00033484,0.018299,0.997794
3418,0.75,250000,41,0.01175,0.00027964,0.016722,0.998204
3418,0.75,500000,41,0.009949,0.00018676,0.013666,0.998839
3418,0.75,1000000,41,0.009989,0.00017048,0.013057,0.99894
3418,0.75,2000000,41,0.009739,0.00015511,0.012454,0.999032
3418,0.75,4000000,41,0.010249,0.00015549,0.01247,0.999031
3418,0.75,8000000,41,0.01201,0.00020686,0.014383,0.998714
3418,0.8,75000,41,0.012322,0.00021006,0.014494,0.999064
3418,0.8,125000,41,0.012474,0.00023093,0.015196,0.998988
3418,0.8,250000,41,0.012036,0.00022883,0.015127,0.999017
3418,0.8,500000,41,0.010644,0.00018729,0.013686,0.999197
3418,0.8,1000000,41,0.009783,0.00016366,0.012793,0.999286
3418,0.8,2000000,41,0.008007,0.00012415,0.011142,0.999454
3418,0.8,4000000,41,0.007494,9.993e-05,0.009996,0.99956
3418,0.8,8000000,41,0.00966,0.00013322,0.011542,0.999414
3418,0.85,75000,41,0.009572,0.00015222,0.012338,0.999604
3418,0.85,125000,41,0.01231,0.00024251,0.015573,0.999389
3418,0.85,250000,41,0.013395,0.000269,0.016401,0.999341
3418,0.85,500000,41,0.016788,0.0003739,0.019337,0.999077
3418,0.85,1000000,41,0.01132,0.00017523,0.013237,0.999555
3418,0.85,2000000,41,0.010771,0.00016392,0.012803,0.999578
3418,0.85,4000000,41,0.012683,0.00019952,0.014125,0.999485
3418,0.85,8000000,41,0.013752,0.00023605,0.015364,0.999391
3418,0.9,75000,41,0.017374,0.00043612,0.020884,0.999478
3418,0.9,125000,41,0.020714,0.00060198,0.024535,0.999298
3418,0.9,250000,41,0.018554,0.00047077,0.021697,0.999463
3418,0.9,500000,41,0.019867,0.00050557,0.022485,0.999424
3418,0.9,1000000,41,0.019634,0.00083259,0.028855,0.999027
3418,0.9,2000000,41,0.016212,0.00039472,0.019867,0.999537
3418,0.9,4000000,41,0.016537,0.00041311,0.020325,0.999513
3418,0.9,8000000,41,0.01698,0.0004393,0.020959,0.99948
4415,0.25,75000,41,0.020015,0.00080392,0.028353,0.998155
4415,0.25,125000,41,0.025511,0.00090497,0.030083,0.998054
4415,0.25,250000,41,0.018578,0.00067464,0.025974,0.99849
4415,0.25,500000,41,0.017859,0.00048425,0.022006,0.998815
4415,0.25,1000000,41,0.020185,0.00063378,0.025175,0.998377
4415,0.25,2000000,41,0.019369,0.00053655,0.023163,0.99859
4415,0.25,4000000,41,0.020204,0.00057372,0.023952,0.998495
4415,0.25,8000000,41,0.01931,0.00052271,0.022863,0.998635
4415,0.35,75000,41,0.015417,0.00042325,0.020573,0.998972
4415,0.35,125000,41,0.018807,0.00051273,0.022644,0.998855
4415,0.35,250000,41,0.016006,0.00064711,0.025438,0.998507
4415,0.35,500000,41,0.015787,0.00040528,0.020132,0.998971
4415,0.35,1000000,41,0.01745,0.00045954,0.021437,0.998768
4415,0.35,2000000,41,0.019792,0.00056926,0.023859,0.998436
4415,0.35,4000000,41,0.019574,0.00056336,0.023735,0.998452
4415,0.35,8000000,41,0.018411,0.00054481,0.023341,0.998511
4415,0.45,75000,41,0.01077,0.00025697,0.01603,0.99932
4415,0.45,125000,41,0.011462,0.00021843,0.014779,0.999474
4415,0.45,250000,41,0.011779,0.00026733,0.01635,0.999349
4415,0.45,500000,41,0.013206,0.00033102,0.018194,0.999113
4415,0.45,1000000,41,0.01282,0.00025063,0.015831,0.999282
4415,0.45,2000000,41,0.014352,0.00030554,0.01748,0.999097
4415,0.45,4000000,41,0.014224,0.0003202,0.017894,0.999052
4415,0.45,8000000,41,0.01411,0.00033755,0.018372,0.999006
4415,0.55,75000,41,0.011694,0.00021541,0.014677,0.999342
4415,0.55,125000,41,0.012541,0.00026687,0.016336,0.99926
4415,0.55,250000,41,0.012187,0.00020901,0.014457,0.999427
4415,0.55,500000,41,0.01056,0.00016881,0.012993,0.999496
4415,0.55,1000000,41,0.012354,0.00024412,0.015624,0.999223
4415,0.55,2000000,41,0.011342,0.00021441,0.014643,0.999295
4415,0.55,4000000,41,0.010597,0.00020124,0.014186,0.999337
4415,0.55,8000000,41,0.011948,0.00023848,0.015443,0.999218
4415,0.65,75000,41,0.008554,0.00012042,0.010974,0.999506
4415,0.65,125000,41,0.012854,0.00024511,0.015656,0.999031
4415,0.65,250000,41,0.009897,0.00019247,0.013873,0.999255
4415,0.65,500000,41,0.008236,0.00011538,0.010742,0.999544
4415,0.65,1000000,41,0.011192,0.00017496,0.013227,0.999291
4415,0.65,2000000,41,0.010051,0.00013629,0.011674,0.999441
4415,0.65,4000000,41,0.008933,0.00011287,0.010624,0.999537
4415,0.65,8000000,41,0.010965,0.00017062,0.013062,0.999303
4415,0.7,75000,41,0.014236,0.00026179,0.01618,0.998793
4415,0.7,125000,41,0.015744,0.00033539,0.018314,0.998478
4415,0.7,250000,41,0.011121,0.00019684,0.01403,0.999125
4415,0.7,500000,41,0.011021,0.00015851,0.01259,0.999295
4415,0.7,1000000,41,0.01264,0.00020432,0.014294,0.999079
4415,0.7,2000000,41,0.012157,0.00017533,0.013241,0.999206
4415,0.7,4000000,41,0.01141,0.00015815,0.012576,0.999285
4415,0.7,8000000,41,0.012573,0.00020537,0.014331,0.999075
4415,0.75,75000,41,0.017943,0.00043763,0.02092,0.997961
4415,0.75,125000,41,0.026837,0.00089031,0.029838,0.995781
4415,0.75,250000,41,0.024236,0.00075776,0.027527,0.996477
4415,0.75,500000,41,0.018729,0.00041661,0.020411,0.998116
4415,0.75,1000000,41,0.017202,0.0003801,0.019496,0.998288
4415,0.75,2000000,41,0.015901,0.0003319,0.018218,0.998503
