Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3415,0.75,4000000,41,0.017101,0.022309,0.997871,0.004513,0.005421,0.997413,0.00248,0.00302,0.994744
3415,0.75,8000000,41,0.014758,0.0211,0.998101,0.004148,0.005063,0.997745,0.002531,0.003096,0.994459
3415,0.8,75000,41,0.01422,0.017595,0.998943,0.002601,0.003054,0.99923,0.003925,0.004722,0.992988
3415,0.8,125000,41,0.01259,0.014875,0.999251,0.002151,0.002605,0.999444,0.00357,0.004142,0.994722
3415,0.8,250000,41,0.015183,0.018625,0.998848,0.002339,0.002839,0.999343,0.003468,0.004234,0.994599
3415,0.8,500000,41,0.015507,0.019611,0.998737,0.002127,0.002749,0.999382,0.00345,0.004507,0.993903
3415,0.8,1000000,41,0.014866,0.019777,0.9987,0.002228,0.002867,0.999324,0.00351,0.004437,0.994077
3415,0.8,2000000,41,0.016378,0.021299,0.998482,0.002474,0.002997,0.99926,0.003744,0.004789,0.993044
3415,0.8,4000000,41,0.017603,0.023467,0.998155,0.002988,0.003539,0.998967,0.003748,0.005098,0.992048
3415,0.8,8000000,41,0.016295,0.022373,0.998326,0.003215,0.003833,0.998789,0.003387,0.004823,0.992865
3415,0.85,75000,41,0.01522,0.022858,0.998981,0.00227,0.002657,0.999573,0.005213,0.008879,0.992985
3415,0.85,125000,41,0.014711,0.018401,0.99936,0.002223,0.002638,0.999584,0.003744,0.006083,0.996882
3415,0.85,250000,41,0.014721,0.018174,0.999393,0.002973,0.003743,0.999176,0.004024,0.006953,0.996092
3415,0.85,500000,41,0.012964,0.016368,0.999502,0.002418,0.003026,0.999464,0.003759,0.005944,0.997064
3415,0.85,1000000,41,0.013877,0.018037,0.999378,0.002835,0.003396,0.999319,0.003667,0.006047,0.996834
3415,0.85,2000000,41,0.015443,0.0196,0.999255,0.003452,0.003995,0.999054,0.003805,0.00625,0.996557
3415,0.85,4000000,41,0.015609,0.020605,0.999174,0.003964,0.004569,0.998759,0.004143,0.007033,0.995581
3415,0.85,8000000,41,0.015327,0.022082,0.999053,0.004571,0.005206,0.998391,0.0043,0.007714,0.994682
3415,0.9,75000,41,0.014263,0.018039,0.999674,0.003103,0.004532,0.999208,0.00516,0.006411,0.999044
3415,0.9,125000,41,0.012543,0.016102,0.999746,0.002892,0.004058,0.999378,0.003384,0.005434,0.999345
3415,0.9,250000,41,0.01167,0.014826,0.999788,0.002514,0.003627,0.999513,0.002924,0.004508,0.999564
3415,0.9,500000,41,0.010044,0.012557,0.999848,0.002561,0.003678,0.999505,0.003429,0.005039,0.999451
3415,0.9,1000000,41,0.009705,0.012459,0.999849,0.003027,0.0041,0.999381,0.003887,0.005328,0.999361
3415,0.9,2000000,41,0.010611,0.013608,0.999817,0.003436,0.00451,0.999243,0.003692,0.00525,0.999362
3415,0.9,4000000,41,0.010503,0.013513,0.999819,0.003998,0.004944,0.999086,0.003273,0.00472,0.999479
3415,0.9,8000000,41,0.011396,0.014634,0.999788,0.004145,0.004753,0.999155,0.003206,0.004692,0.999485
3418,0.25,75000,41,0.020403,0.031909,0.99754,0.004025,0.006537,0.993208,0.002861,0.004369,0.968558
3418,0.25,125000,41,0.011812,0.028088,0.998285,0.002258,0.004267,0.996919,0.002562,0.003653,0.979409
3418,0.25,250000,41,0.011334,0.019095,0.999156,0.001979,0.002791,0.998633,0.002401,0.00289,0.986635
3418,0.25,500000,41,0.011743,0.015996,0.999328,0.001487,0.002173,0.999195,0.002477,0.002843,0.986419
3418,0.25,1000000,41,0.011817,0.014742,0.999388,0.001196,0.00153,0.999614,0.002475,0.002845,0.986164
3418,0.25,2000000,41,0.011689,0.015145,0.999337,0.001351,0.001747,0.999505,0.002578,0.002938,0.985125
3418,0.25,4000000,41,0.013382,0.018268,0.999039,0.001763,0.002464,0.999018,0.002585,0.002793,0.986474
3418,0.25,8000000,41,0.01371,0.018716,0.998998,0.002028,0.002764,0.998766,0.00292,0.003146,0.982841
3418,0.35,75000,41,0.016693,0.021032,0.998837,0.003203,0.004097,0.997544,0.003025,0.0036,0.978976
3418,0.35,125000,41,0.015863,0.029809,0.997945,0.002545,0.004218,0.997195,0.003182,0.003861,0.977422
3418,0.35,250000,41,0.012162,0.015269,0.99943,0.002602,0.006744,0.992593,0.003486,0.005289,0.956817
3418,0.35,500000,41,0.013867,0.017751,0.999125,0.001246,0.001718,0.999527,0.002783,0.00307,0.984868
3418,0.35,1000000,41,0.014235,0.017989,0.999026,0.001268,0.001923,0.999423,0.002937,0.003308,0.981787
3418,0.35,2000000,41,0.012371,0.01572,0.999229,0.001219,0.001635,0.99959,0.003029,0.003399,0.980439
3418,0.35,4000000,41,0.013815,0.017001,0.9991,0.001403,0.002096,0.999327,0.003047,0.003321,0.981195
3418,0.35,8000000,41,0.012339,0.016878,0.999119,0.001762,0.002438,0.99909,0.003539,0.003807,0.975282
3418,0.45,75000,41,0.015047,0.020566,0.99871,0.003062,0.003734,0.998189,0.00351,0.004161,0.973128
3418,0.45,125000,41,0.015463,0.022421,0.998683,0.002355,0.003293,0.998489,0.003547,0.003894,0.97818
3418,0.45,250000,41,0.012163,0.014277,0.999462,0.002695,0.004991,0.996351,0.003762,0.00425,0.973907
3418,0.45,500000,41,0.017217,0.021052,0.99865,0.002474,0.006413,0.99401,0.003758,0.005668,0.950905
3418,0.45,1000000,41,0.015899,0.018889,0.998817,0.001417,0.00193,0.999469,0.003349,0.003789,0.977358
3418,0.45,2000000,41,0.01303,0.015305,0.999188,0.001083,0.001378,0.999733,0.003467,0.003918,0.975161
3418,0.45,4000000,41,0.013246,0.015484,0.999168,0.001021,0.001363,0.999739,0.003388,0.003753,0.977018
3418,0.45,8000000,41,0.011994,0.014759,0.99925,0.001671,0.002281,0.999269,0.003755,0.004007,0.973733
3418,0.55,75000,41,0.017178,0.020132,0.99843,0.00359,0.003929,0.998216,0.002876,0.00345,0.982297
3418,0.55,125000,41,0.009454,0.01189,0.999527,0.001453,0.001676,0.999668,0.002544,0.002893,0.988751
3418,0.55,250000,41,0.012763,0.016118,0.999162,0.001249,0.001728,0.999632,0.0031,0.003486,0.984011
3418,0.55,500000,41,0.014433,0.017173,0.99894,0.001213,0.001644,0.999655,0.002487,0.002894,0.988137
3418,0.55,1000000,41,0.012507,0.01459,0.999164,0.000957,0.001435,0.999739,0.002356,0.00277,0.988645
3418,0.55,2000000,41,0.011338,0.018647,0.998557,0.001552,0.004581,0.99734,0.002452,0.002837,0.987854
3418,0.55,4000000,41,0.010306,0.012357,0.999372,0.000947,0.001242,0.999806,0.002492,0.002867,0.987394
3418,0.55,8000000,41,0.01211,0.014415,0.99915,0.001259,0.001694,0.99964,0.002632,0.002891,0.987171
3418,0.65,75000,41,0.016102,0.02375,0.996746,0.003185,0.00361,0.998608,0.002479,0.002967,0.987716
3418,0.65,125000,41,0.011739,0.016767,0.99847,0.001944,0.002349,0.999415,0.001816,0.002226,0.993621
3418,0.65,250000,41,0.010291,0.014443,0.998912,0.00206,0.002662,0.999246,0.001946,0.002283,0.993503
3418,0.65,500000,41,0.010327,0.014054,0.998945,0.0024,0.002766,0.999167,0.001901,0.002248,0.993511
3418,0.65,1000000,41,0.009777,0.012646,0.999112,0.002096,0.002454,0.999338,0.0016,0.001903,0.99518
3418,0.65,2000000,41,0.011501,0.014413,0.998827,0.002028,0.002456,0.999336,0.00175,0.002092,0.994061
3418,0.65,4000000,41,0.012021,0.014149,0.998869,0.00184,0.002465,0.99933,0.001894,0.002197,0.993375
3418,0.65,8000000,41,0.009565,0.012017,0.999188,0.002044,0.002548,0.999285,0.002043,0.00235,0.992392
3418,0.7,75000,41,0.014309,0.020846,0.997053,0.002849,0.003498,0.998738,0.002417,0.002927,0.989525
3418,0.7,125000,41,0.010772,0.017332,0.998014,0.002204,0.00265,0.999285,0.001733,0.002231,0.994266
3418,0.7,250000,41,0.011179,0.0169,0.998182,0.002218,0.002563,0.999331,0.0019,0.002209,0.994503
3418,0.7,500000,41,0.012609,0.016693,0.998235,0.002644,0.003044,0.999041,0.002065,0.002394,0.993425
3418,0.7,1000000,41,0.011886,0.014372,0.998665,0.002466,0.002896,0.999121,0.001774,0.002081,0.994932
3418,0.7,2000000,41,0.01179,0.014562,0.998619,0.002188,0.002721,0.999222,0.001743,0.002021,0.995149
