Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cl_R2,Cd_MAE,Cd_RMSE,Cd_R2,Cm_MAE,Cm_RMSE,Cm_R2
3415,0.75,4000000,41,0.008209,0.009853,0.999585,0.002307,0.002676,0.99937,0.002464,0.002978,0.994888
3415,0.75,8000000,41,0.009312,0.011297,0.999456,0.002211,0.002691,0.999363,0.002487,0.003023,0.994718
3415,0.8,75000,41,0.006639,0.008338,0.999763,0.00197,0.002363,0.999539,0.002214,0.002979,0.997208
3415,0.8,125000,41,0.008425,0.01148,0.999554,0.001879,0.002164,0.999616,0.002888,0.003884,0.995359
3415,0.8,250000,41,0.007372,0.009505,0.9997,0.001567,0.00196,0.999687,0.00247,0.003417,0.996482
3415,0.8,500000,41,0.009758,0.012648,0.999474,0.001588,0.002101,0.999639,0.002882,0.003584,0.996145
3415,0.8,1000000,41,0.008637,0.010742,0.999616,0.001616,0.002113,0.999633,0.002306,0.002915,0.997443
3415,0.8,2000000,41,0.008277,0.010436,0.999635,0.001928,0.002333,0.999552,0.002308,0.002823,0.997583
3415,0.8,4000000,41,0.008278,0.010514,0.99963,0.00214,0.002539,0.999468,0.002421,0.002968,0.997306
3415,0.8,8000000,41,0.009074,0.011038,0.999592,0.002356,0.002864,0.999324,0.002607,0.00318,0.996898
3415,0.85,75000,41,0.015672,0.026769,0.998603,0.002544,0.003155,0.999397,0.005166,0.009946,0.991197
3415,0.85,125000,41,0.013415,0.0206,0.999198,0.002283,0.002628,0.999587,0.00552,0.008614,0.993747
3415,0.85,250000,41,0.015699,0.023887,0.998951,0.002557,0.003004,0.999469,0.004939,0.008955,0.993518
3415,0.85,500000,41,0.019407,0.027811,0.998563,0.002318,0.002653,0.999588,0.004691,0.008959,0.993329
3415,0.85,1000000,41,0.018606,0.026126,0.998695,0.001763,0.001998,0.999764,0.004375,0.008239,0.994122
3415,0.85,2000000,41,0.019556,0.027323,0.998551,0.001738,0.002032,0.999755,0.00439,0.008351,0.993853
3415,0.85,4000000,41,0.020641,0.028318,0.998439,0.001882,0.0023,0.999686,0.004299,0.008325,0.993809
3415,0.85,8000000,41,0.02055,0.027205,0.998562,0.002351,0.002952,0.999483,0.004427,0.008025,0.994244
3415,0.9,75000,41,0.01312,0.017335,0.999699,0.002969,0.003771,0.999452,0.004381,0.005701,0.999244
3415,0.9,125000,41,0.01285,0.017415,0.999703,0.002998,0.003659,0.999494,0.004657,0.005745,0.999268
3415,0.9,250000,41,0.01295,0.016734,0.99973,0.003687,0.004508,0.999248,0.003682,0.004797,0.999507
3415,0.9,500000,41,0.011792,0.015238,0.999777,0.003581,0.004475,0.999268,0.003636,0.004593,0.999544
3415,0.9,1000000,41,0.011677,0.015672,0.99976,0.003308,0.004319,0.999314,0.00348,0.004227,0.999598
3415,0.9,2000000,41,0.012688,0.016339,0.999737,0.003731,0.004689,0.999182,0.003491,0.004147,0.999602
3415,0.9,4000000,41,0.012885,0.016122,0.999743,0.003544,0.004471,0.999252,0.003585,0.004455,0.999536
3415,0.9,8000000,41,0.013113,0.015435,0.999764,0.00325,0.004143,0.999358,0.003722,0.004709,0.999481
3418,0.25,75000,41,0.014489,0.034094,0.997191,0.002058,0.00596,0.994354,0.001763,0.004534,0.966146
3418,0.25,125000,41,0.01368,0.021042,0.999037,0.00216,0.003274,0.998186,0.001823,0.002439,0.990824
3418,0.25,250000,41,0.006575,0.009498,0.999791,0.002059,0.002521,0.998884,0.001616,0.001976,0.993755
3418,0.25,500000,41,0.012623,0.014086,0.999479,0.0016,0.002212,0.999166,0.001254,0.001858,0.994203
3418,0.25,1000000,41,0.011768,0.016423,0.999241,0.002123,0.003071,0.998445,0.001363,0.002212,0.991633
3418,0.25,2000000,41,0.011765,0.01637,0.999226,0.00197,0.002848,0.998685,0.001357,0.002054,0.992731
3418,0.25,4000000,41,0.010883,0.015193,0.999335,0.001723,0.002388,0.999078,0.001231,0.001759,0.994636
3418,0.25,8000000,41,0.011024,0.014581,0.999392,0.001338,0.002088,0.999296,0.001357,0.001833,0.994173
3418,0.35,75000,41,0.01169,0.016236,0.999307,0.001674,0.002622,0.998994,0.001295,0.002075,0.993016
