Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3415,0.85,75000,41,0.021869,0.033362,0.003473,0.004446,0.007074,0.011475
3415,0.85,125000,41,0.024637,0.032314,0.003125,0.004012,0.008839,0.01211
3415,0.85,250000,41,0.02509,0.034269,0.003079,0.00389,0.008998,0.013023
3415,0.85,500000,41,0.02314,0.035566,0.003121,0.003917,0.007489,0.011712
3415,0.85,1000000,41,0.020784,0.030785,0.004043,0.005264,0.006816,0.010312
3415,0.85,2000000,41,0.020982,0.030415,0.003695,0.004764,0.006886,0.010095
3415,0.85,4000000,41,0.020193,0.030416,0.003547,0.004732,0.007337,0.010214
3415,0.85,8000000,41,0.023645,0.036813,0.003733,0.004895,0.008146,0.011204
3415,0.9,75000,41,0.01231,0.016322,0.005271,0.006154,0.004918,0.005874
3415,0.9,125000,41,0.014772,0.018107,0.005245,0.006194,0.006174,0.007301
3415,0.9,250000,41,0.014246,0.017508,0.004655,0.005512,0.005571,0.006529
3415,0.9,500000,41,0.013558,0.01754,0.004968,0.00593,0.005272,0.006344
3415,0.9,1000000,41,0.013587,0.018292,0.00516,0.006015,0.004568,0.005693
3415,0.9,2000000,41,0.013493,0.018179,0.005055,0.005859,0.004422,0.005417
3415,0.9,4000000,41,0.014417,0.018944,0.004772,0.005674,0.004767,0.005741
3415,0.9,8000000,41,0.014885,0.019116,0.003959,0.00516,0.005268,0.006218
3418,0.25,75000,41,0.030152,0.050957,0.005037,0.009827,0.00258,0.006127
3418,0.25,125000,41,0.029974,0.04188,0.005403,0.008633,0.002856,0.003886
3418,0.25,250000,41,0.022906,0.02965,0.00368,0.004387,0.001892,0.002177
3418,0.25,500000,41,0.020782,0.026505,0.004051,0.004929,0.00212,0.00294
3418,0.25,1000000,41,0.01958,0.025718,0.003402,0.004806,0.002096,0.003121
3418,0.25,2000000,41,0.019394,0.025591,0.003168,0.004317,0.00222,0.002917
3418,0.25,4000000,41,0.019293,0.025731,0.003361,0.004602,0.002381,0.002996
3418,0.25,8000000,41,0.022112,0.029316,0.003646,0.005384,0.002446,0.003075
3418,0.35,75000,41,0.027551,0.033943,0.003878,0.005486,0.002839,0.004348
3418,0.35,125000,41,0.034808,0.048007,0.004619,0.00695,0.002584,0.003101
3418,0.35,250000,41,0.024157,0.028897,0.003337,0.007265,0.002055,0.004484
3418,0.35,500000,41,0.022633,0.026427,0.002949,0.003632,0.002342,0.002773
3418,0.35,1000000,41,0.020152,0.025172,0.001977,0.002655,0.002389,0.0029
3418,0.35,2000000,41,0.019425,0.02423,0.002018,0.002761,0.002537,0.003055
3418,0.35,4000000,41,0.018475,0.023093,0.001725,0.002674,0.002195,0.002697
3418,0.35,8000000,41,0.017347,0.022349,0.002469,0.003525,0.002101,0.002478
3418,0.45,75000,41,0.019869,0.028235,0.0042,0.00589,0.004516,0.005572
3418,0.45,125000,41,0.036156,0.046993,0.003206,0.004656,0.002802,0.003376
3418,0.45,250000,41,0.024633,0.035318,0.003312,0.006244,0.002524,0.003033
3418,0.45,500000,41,0.024108,0.031193,0.004235,0.008046,0.003733,0.00581
3418,0.45,1000000,41,0.022964,0.027995,0.002975,0.004006,0.003358,0.003907
3418,0.45,2000000,41,0.019337,0.025181,0.003433,0.00462,0.003857,0.00428
3418,0.45,4000000,41,0.020592,0.025592,0.002658,0.003741,0.003404,0.003833
3418,0.45,8000000,41,0.022772,0.028128,0.002294,0.003341,0.003173,0.003808
3418,0.55,75000,41,0.022801,0.027204,0.006018,0.007632,0.005275,0.006226
3418,0.55,125000,41,0.017528,0.020678,0.004113,0.004594,0.003585,0.004714
3418,0.55,250000,41,0.017009,0.020854,0.004996,0.005582,0.003468,0.004588
3418,0.55,500000,41,0.019424,0.023036,0.004897,0.005495,0.00333,0.004201
3418,0.55,1000000,41,0.015466,0.021057,0.004792,0.005528,0.003627,0.00433
3418,0.55,2000000,41,0.017537,0.025772,0.005872,0.007675,0.003905,0.004457
3418,0.55,4000000,41,0.016083,0.02317,0.004614,0.005427,0.003723,0.004233
3418,0.55,8000000,41,0.016759,0.023231,0.00447,0.00513,0.003527,0.003893
3418,0.65,75000,41,0.027915,0.045284,0.005846,0.007668,0.0034,0.004053
3418,0.65,125000,41,0.028221,0.046393,0.006327,0.008346,0.003156,0.003896
3418,0.65,250000,41,0.03005,0.050393,0.007715,0.009938,0.003725,0.004715
3418,0.65,500000,41,0.022038,0.034052,0.006253,0.007667,0.003289,0.004107
3418,0.65,1000000,41,0.019363,0.027467,0.005976,0.007187,0.003179,0.003816
3418,0.65,2000000,41,0.019886,0.028382,0.005996,0.007157,0.003397,0.003982
3418,0.65,4000000,41,0.018066,0.024934,0.005512,0.006798,0.003248,0.003816
3418,0.65,8000000,41,0.018944,0.026839,0.005068,0.006495,0.002507,0.003023
3418,0.7,75000,41,0.02335,0.034293,0.004981,0.006113,0.00251,0.002931
