Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
3415,0.85,75000,41,0.015514,0.018378,0.003128,0.003618,0.003579,0.005765
3415,0.85,125000,41,0.01622,0.021395,0.003591,0.004035,0.004048,0.005111
3415,0.85,250000,41,0.015268,0.019186,0.004638,0.00526,0.00479,0.006232
3415,0.85,500000,41,0.013825,0.017292,0.004539,0.005155,0.004012,0.005104
3415,0.85,1000000,41,0.012819,0.016154,0.0036,0.004149,0.003017,0.003734
3415,0.85,2000000,41,0.013498,0.01668,0.003851,0.004658,0.0032,0.0041
3415,0.85,4000000,41,0.015623,0.018272,0.003355,0.004055,0.002779,0.003848
3415,0.85,8000000,41,0.015999,0.019311,0.002943,0.00365,0.003672,0.004884
3415,0.9,75000,41,0.022733,0.02844,0.008334,0.010037,0.002793,0.004055
3415,0.9,125000,41,0.026665,0.033567,0.00811,0.009768,0.004174,0.00553
3415,0.9,250000,41,0.026918,0.033253,0.008704,0.010564,0.003493,0.004555
3415,0.9,500000,41,0.028991,0.035531,0.008294,0.010496,0.00455,0.005423
3415,0.9,1000000,41,0.030269,0.036632,0.008915,0.010952,0.004462,0.005335
3415,0.9,2000000,41,0.029022,0.034683,0.008973,0.010841,0.004472,0.005698
3415,0.9,4000000,41,0.028598,0.031743,0.007904,0.009253,0.004079,0.005242
3415,0.9,8000000,41,0.038796,0.040978,0.007192,0.009199,0.004454,0.005347
3418,0.25,75000,41,0.016655,0.039851,0.003168,0.007488,0.002026,0.005001
3418,0.25,125000,41,0.012622,0.021434,0.002882,0.004015,0.002107,0.002682
3418,0.25,250000,41,0.010548,0.016324,0.001966,0.002873,0.001419,0.001972
3418,0.25,500000,41,0.011367,0.013576,0.001386,0.001948,0.001796,0.00227
3418,0.25,1000000,41,0.011095,0.015138,0.001416,0.00277,0.002081,0.0031
3418,0.25,2000000,41,0.012549,0.016158,0.001353,0.002268,0.002116,0.002764
3418,0.25,4000000,41,0.013307,0.016978,0.001519,0.002427,0.001809,0.002528
3418,0.25,8000000,41,0.01709,0.021137,0.001968,0.002802,0.001832,0.002413
3418,0.35,75000,41,0.01249,0.017581,0.001902,0.00398,0.001972,0.003126
3418,0.35,125000,41,0.016875,0.022189,0.002082,0.003027,0.00165,0.002253
3418,0.35,250000,41,0.013208,0.016526,0.002719,0.006649,0.001904,0.004127
3418,0.35,500000,41,0.013737,0.016953,0.001323,0.001902,0.001639,0.001955
3418,0.35,1000000,41,0.00999,0.012455,0.001202,0.001688,0.001827,0.002414
3418,0.35,2000000,41,0.011043,0.013474,0.001028,0.001632,0.001841,0.002388
3418,0.35,4000000,41,0.013148,0.01634,0.001561,0.002364,0.001756,0.002172
3418,0.35,8000000,41,0.014071,0.018491,0.002474,0.003408,0.001802,0.002155
3418,0.45,75000,41,0.008601,0.01171,0.002182,0.003157,0.001976,0.002521
3418,0.45,125000,41,0.021059,0.025616,0.002607,0.00378,0.001512,0.002013
3418,0.45,250000,41,0.014689,0.020045,0.002794,0.005609,0.001509,0.001848
3418,0.45,500000,41,0.016768,0.022368,0.003104,0.006704,0.002066,0.004572
3418,0.45,1000000,41,0.01317,0.016226,0.002041,0.002512,0.0016,0.002064
3418,0.45,2000000,41,0.012047,0.015561,0.002321,0.002891,0.001875,0.002272
3418,0.45,4000000,41,0.013975,0.017455,0.002292,0.002782,0.001837,0.002181
3418,0.45,8000000,41,0.014055,0.018956,0.002222,0.003036,0.001559,0.002097
3418,0.55,75000,41,0.01353,0.018389,0.004084,0.004531,0.001835,0.002647
3418,0.55,125000,41,0.017197,0.021846,0.00248,0.00315,0.001548,0.002059
3418,0.55,250000,41,0.010681,0.013751,0.002618,0.003323,0.001441,0.002167
3418,0.55,500000,41,0.011124,0.013981,0.002501,0.002771,0.001376,0.001743
3418,0.55,1000000,41,0.012251,0.016056,0.00201,0.002294,0.001052,0.001425
3418,0.55,2000000,41,0.011288,0.020778,0.003245,0.00572,0.001554,0.002054
3418,0.55,4000000,41,0.009537,0.012823,0.001711,0.002174,0.001608,0.002103
3418,0.55,8000000,41,0.014167,0.018722,0.002038,0.002431,0.001377,0.001768
3418,0.65,75000,41,0.013407,0.017666,0.002455,0.00292,0.001898,0.002303
3418,0.65,125000,41,0.011089,0.014801,0.001934,0.002423,0.001854,0.002221
3418,0.65,250000,41,0.009778,0.014052,0.002318,0.002748,0.001974,0.002462
