Airfoil,Mach,Re,N_points,Cd_MAE,Cd_MSE,Cd_RMSE,Cd_R2
3415,0.9,8000000,41,0.003302,1.854e-05,0.004306,0.999306
3418,0.25,75000,41,0.002814,4.711e-05,0.006864,0.992511
3418,0.25,125000,41,0.003445,2.226e-05,0.004718,0.996234
3418,0.25,250000,41,0.002277,8.96e-06,0.002993,0.998427
3418,0.25,500000,41,0.001987,5.16e-06,0.002272,0.99912
3418,0.25,1000000,41,0.001705,3.81e-06,0.001951,0.999372
3418,0.25,2000000,41,0.001841,6.02e-06,0.002453,0.999024
3418,0.25,4000000,41,0.002043,8.69e-06,0.002948,0.998595
3418,0.25,8000000,41,0.0021,8.69e-06,0.002948,0.998596
3418,0.35,75000,41,0.003033,1.828e-05,0.004276,0.997325
3418,0.35,125000,41,0.00439,2.823e-05,0.005313,0.995549
3418,0.35,250000,41,0.003703,7.615e-05,0.008726,0.987598
3418,0.35,500000,41,0.002493,8.56e-06,0.002925,0.998627
3418,0.35,1000000,41,0.002232,6.18e-06,0.002486,0.999037
3418,0.35,2000000,41,0.002348,7.4e-06,0.00272,0.998864
3418,0.35,4000000,41,0.002743,1.023e-05,0.003198,0.998433
3418,0.35,8000000,41,0.002555,8.71e-06,0.002952,0.998666
3418,0.45,75000,41,0.00349,1.75e-05,0.004184,0.997727
3418,0.45,125000,41,0.004564,3.117e-05,0.005583,0.995655
3418,0.45,250000,41,0.003781,4.155e-05,0.006446,0.993914
3418,0.45,500000,41,0.003718,5.423e-05,0.007364,0.9921
3418,0.45,1000000,41,0.00227,7.43e-06,0.002726,0.99894
3418,0.45,2000000,41,0.002411,8.07e-06,0.002841,0.998865
3418,0.45,4000000,41,0.002716,9.64e-06,0.003106,0.998645
3418,0.45,8000000,41,0.002523,7.91e-06,0.002812,0.998889
3418,0.55,75000,41,0.003385,1.601e-05,0.004001,0.99815
3418,0.55,125000,41,0.003285,1.426e-05,0.003776,0.998314
3418,0.55,250000,41,0.002739,1.323e-05,0.003637,0.998367
3418,0.55,500000,41,0.002795,1.085e-05,0.003294,0.998615
3418,0.55,1000000,41,0.001963,6.68e-06,0.002585,0.999153
3418,0.55,2000000,41,0.0027,2.88e-05,0.005367,0.99635
3418,0.55,4000000,41,0.002042,8.26e-06,0.002874,0.998962
3418,0.55,8000000,41,0.001533,4.15e-06,0.002036,0.99948
3418,0.65,75000,41,0.003319,1.526e-05,0.003906,0.99837
3418,0.65,125000,41,0.003353,1.453e-05,0.003812,0.99846
3418,0.65,250000,41,0.003387,1.534e-05,0.003917,0.998367
3418,0.65,500000,41,0.002945,1.21e-05,0.003479,0.998683
3418,0.65,1000000,41,0.002901,1.122e-05,0.00335,0.998766
3418,0.65,2000000,41,0.002787,1.04e-05,0.003224,0.998855
3418,0.65,4000000,41,0.002703,9.8e-06,0.003131,0.99892
3418,0.65,8000000,41,0.002045,5.75e-06,0.002398,0.999366
3418,0.7,75000,41,0.003255,1.48e-05,0.003847,0.998474
3418,0.7,125000,41,0.003237,1.502e-05,0.003876,0.99847
3418,0.7,250000,41,0.002949,1.231e-05,0.003509,0.998747
3418,0.7,500000,41,0.003189,1.451e-05,0.003809,0.998499
3418,0.7,1000000,41,0.002781,1.197e-05,0.00346,0.998745
3418,0.7,2000000,41,0.002616,1.006e-05,0.003172,0.998943
3418,0.7,4000000,41,0.00257,9.61e-06,0.0031,0.998989
3418,0.7,8000000,41,0.001935,5.47e-06,0.002339,0.999424
3418,0.75,75000,41,0.002906,1.217e-05,0.003489,0.998716
3418,0.75,125000,41,0.002409,9.5e-06,0.003082,0.99901
3418,0.75,250000,41,0.002774,1.562e-05,0.003952,0.998375
3418,0.75,500000,41,0.003322,1.852e-05,0.004304,0.998041
3418,0.75,1000000,41,0.002765,1.595e-05,0.003993,0.998288
