Airfoil,Mach,Re,N_points,Cm_MAE,Cm_MSE,Cm_RMSE,Cm_R2
3415,0.9,8000000,41,0.005072,3.129e-05,0.005594,0.999268
3418,0.25,75000,41,0.00294,2.516e-05,0.005016,0.958563
3418,0.25,125000,41,0.002982,1.927e-05,0.00439,0.970267
3418,0.25,250000,41,0.002314,1.009e-05,0.003177,0.983851
3418,0.25,500000,41,0.002174,6.23e-06,0.002495,0.989541
3418,0.25,1000000,41,0.002447,8.76e-06,0.00296,0.985015
3418,0.25,2000000,41,0.00266,1.076e-05,0.00328,0.981459
3418,0.25,4000000,41,0.002622,1.042e-05,0.003229,0.981929
3418,0.25,8000000,41,0.002199,8.57e-06,0.002927,0.985149
3418,0.35,75000,41,0.002959,1.389e-05,0.003727,0.977464
3418,0.35,125000,41,0.003353,1.974e-05,0.004444,0.970092
3418,0.35,250000,41,0.003506,2.446e-05,0.004945,0.962253
3418,0.35,500000,41,0.002845,1.098e-05,0.003314,0.982367
3418,0.35,1000000,41,0.002451,8.37e-06,0.002893,0.986073
3418,0.35,2000000,41,0.002446,8.92e-06,0.002987,0.984891
3418,0.35,4000000,41,0.002581,9.68e-06,0.003112,0.983488
3418,0.35,8000000,41,0.002271,7.99e-06,0.002827,0.986373
3418,0.45,75000,41,0.003205,1.673e-05,0.00409,0.974032
3418,0.45,125000,41,0.003377,1.652e-05,0.004065,0.976224
3418,0.45,250000,41,0.004122,2.265e-05,0.00476,0.967278
3418,0.45,500000,41,0.004004,2.899e-05,0.005384,0.955699
3418,0.45,1000000,41,0.00289,1.062e-05,0.003259,0.983258
3418,0.45,2000000,41,0.002765,1.037e-05,0.003221,0.98322
3418,0.45,4000000,41,0.002974,1.187e-05,0.003445,0.980637
3418,0.45,8000000,41,0.003015,1.356e-05,0.003683,0.977818
3418,0.55,75000,41,0.003191,1.342e-05,0.003663,0.980046
3418,0.55,125000,41,0.003233,1.325e-05,0.00364,0.982188
3418,0.55,250000,41,0.004499,2.493e-05,0.004993,0.967197
3418,0.55,500000,41,0.004059,1.89e-05,0.004348,0.973221
3418,0.55,1000000,41,0.0036,1.412e-05,0.003757,0.979116
3418,0.55,2000000,41,0.003676,1.474e-05,0.00384,0.977757
3418,0.55,4000000,41,0.0037,1.551e-05,0.003938,0.97622
3418,0.55,8000000,41,0.003823,1.748e-05,0.004181,0.973164
3418,0.65,75000,41,0.002328,7.65e-06,0.002766,0.989331
3418,0.65,125000,41,0.002313,7.35e-06,0.002711,0.990539
3418,0.65,250000,41,0.002774,1.075e-05,0.003278,0.986606
3418,0.65,500000,41,0.003175,1.167e-05,0.003416,0.985011
3418,0.65,1000000,41,0.003125,1.158e-05,0.003403,0.984586
3418,0.65,2000000,41,0.003251,1.232e-05,0.003509,0.983286
3418,0.65,4000000,41,0.003048,1.141e-05,0.003379,0.984327
3418,0.65,8000000,41,0.003137,1.293e-05,0.003596,0.98219
3418,0.7,75000,41,0.00322,1.467e-05,0.00383,0.98206
3418,0.7,125000,41,0.002702,1.228e-05,0.003505,0.98585
3418,0.7,250000,41,0.003534,1.913e-05,0.004374,0.978458
3418,0.7,500000,41,0.003307,1.49e-05,0.00386,0.982909
3418,0.7,1000000,41,0.003231,1.498e-05,0.00387,0.982476
3418,0.7,2000000,41,0.003192,1.413e-05,0.003758,0.983222
3418,0.7,4000000,41,0.002905,1.286e-05,0.003585,0.984555
3418,0.7,8000000,41,0.002641,1.204e-05,0.00347,0.985491
3418,0.75,75000,41,0.003252,1.794e-05,0.004236,0.986714
3418,0.75,125000,41,0.004694,5.085e-05,0.007131,0.96534
3418,0.75,250000,41,0.004103,3.086e-05,0.005555,0.979
3418,0.75,500000,41,0.002991,1.387e-05,0.003724,0.989717
3418,0.75,1000000,41,0.002766,1.159e-05,0.003405,0.991121
3418,0.75,2000000,41,0.002713,1.064e-05,0.003261,0.991752
3418,0.75,4000000,41,0.002428,8.89e-06,0.002982,0.993027
3418,0.75,8000000,41,0.002641,9.6e-06,0.003099,0.992449
3418,0.8,75000,41,0.002571,1.078e-05,0.003284,0.996224
3418,0.8,125000,41,0.002758,1.196e-05,0.003458,0.996015
3418,0.8,250000,41,0.002586,1.001e-05,0.003164,0.996719
3418,0.8,500000,41,0.002413,9.27e-06,0.003044,0.996849
3418,0.8,1000000,41,0.002679,1.15e-05,0.003392,0.995971
3418,0.8,2000000,41,0.002599,1.081e-05,0.003287,0.996149
3418,0.8,4000000,41,0.002646,1.175e-05,0.003428,0.995761
3418,0.8,8000000,41,0.003072,1.25e-05,0.003536,0.995481
3418,0.85,75000,41,0.002983,2.204e-05,0.004695,0.997399
3418,0.85,125000,41,0.002593,1.851e-05,0.004303,0.997965
3418,0.85,250000,41,0.00283,2.678e-05,0.005174,0.997195
3418,0.85,500000,41,0.00294,2.761e-05,0.005254,0.997011
3418,0.85,1000000,41,0.002928,2.273e-05,0.004768,0.997421
3418,0.85,2000000,41,0.00274,1.63e-05,0.004038,0.998109
3418,0.85,4000000,41,0.002977,1.528e-05,0.003909,0.998207
3418,0.85,8000000,41,0.002875,1.461e-05,0.003823,0.998283
3418,0.9,75000,41,0.006007,4.349e-05,0.006594,0.9988
3418,0.9,125000,41,0.004618,2.453e-05,0.004953,0.999358
3418,0.9,250000,41,0.005635,3.622e-05,0.006018,0.99909
3418,0.9,500000,41,0.006232,4.282e-05,0.006544,0.998913
3418,0.9,1000000,41,0.007515,8.874e-05,0.00942,0.99761
3418,0.9,2000000,41,0.006312,4.227e-05,0.006502,0.99884
3418,0.9,4000000,41,0.005609,3.378e-05,0.005812,0.999062
3418,0.9,8000000,41,0.005549,6.384e-05,0.00799,0.998207
4415,0.25,75000,41,0.002923,3.313e-05,0.005756,0.969981
4415,0.25,125000,41,0.003729,3.577e-05,0.00598,0.969464
4415,0.25,250000,41,0.003102,3.129e-05,0.005594,0.972407
4415,0.25,500000,41,0.002623,1.857e-05,0.004309,0.983145
4415,0.25,1000000,41,0.00227,1.642e-05,0.004052,0.984788
4415,0.25,2000000,41,0.002058,1.057e-05,0.003251,0.98992
4415,0.25,4000000,41,0.002118,1e-05,0.003162,0.990419
4415,0.25,8000000,41,0.001605,6.35e-06,0.00252,0.993916
4415,0.35,75000,41,0.002669,1.99e-05,0.004461,0.981534
4415,0.35,125000,41,0.003524,3.198e-05,0.005655,0.971556
4415,0.35,250000,41,0.003589,4.738e-05,0.006883,0.958137
4415,0.35,500000,41,0.002815,2.017e-05,0.004491,0.981011
4415,0.35,1000000,41,0.002503,1.625e-05,0.004031,0.984353
4415,0.35,2000000,41,0.002658,1.544e-05,0.00393,0.984946
4415,0.35,4000000,41,0.002759,1.554e-05,0.003942,0.984744
4415,0.35,8000000,41,0.002272,1.066e-05,0.003265,0.989532
4415,0.45,75000,41,0.002475,1.797e-05,0.00424,0.983591
4415,0.45,125000,41,0.003389,2.176e-05,0.004664,0.980625
4415,0.45,250000,41,0.003727,2.83e-05,0.00532,0.973881
4415,0.45,500000,41,0.003085,1.699e-05,0.004122,0.983694
4415,0.45,1000000,41,0.002903,1.602e-05,0.004002,0.984274
4415,0.45,2000000,41,0.002632,1.157e-05,0.003401,0.988519
4415,0.45,4000000,41,0.002586,1.078e-05,0.003283,0.989231
4415,0.45,8000000,41,0.002405,8.63e-06,0.002938,0.991366
4415,0.55,75000,41,0.003697,2.075e-05,0.004555,0.981457
4415,0.55,125000,41,0.003946,2.249e-05,0.004742,0.980784
4415,0.55,250000,41,0.004951,3.356e-05,0.005793,0.970684
4415,0.55,500000,41,0.004272,2.416e-05,0.004915,0.97732
4415,0.55,1000000,41,0.003399,1.588e-05,0.003984,0.984639
4415,0.55,2000000,41,0.003173,1.308e-05,0.003616,0.987162
4415,0.55,4000000,41,0.003012,1.121e-05,0.003348,0.988885
4415,0.55,8000000,41,0.002586,8.37e-06,0.002893,0.991685
4415,0.65,75000,41,0.002915,1.294e-05,0.003597,0.988948
4415,0.65,125000,41,0.002744,1.009e-05,0.003176,0.991765
