This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cl, ln(Reynolds#)
6,0,6,75000,0.45,-13,-0.750808,11.2252433925184
6,0,6,75000,0.45,-12,-0.736333,11.2252433925184
6,0,6,75000,0.45,-11,-0.724011,11.2252433925184
6,0,6,75000,0.45,-10,-0.714015,11.2252433925184
6,0,6,75000,0.45,-9,-0.707783,11.2252433925184
6,0,6,75000,0.45,-8,-0.703741,11.2252433925184
6,0,6,75000,0.45,-7,-0.691296,11.2252433925184
6,0,6,75000,0.45,-6,-0.643611,11.2252433925184
6,0,6,75000,0.45,-5,-0.567514,11.2252433925184
6,0,6,75000,0.45,-4,-0.46757,11.2252433925184
6,0,6,75000,0.45,-3,-0.354716,11.2252433925184
6,0,6,75000,0.45,-2,-0.237554,11.2252433925184
6,0,6,75000,0.45,-1,-0.118824,11.2252433925184
6,0,6,75000,0.45,0,0.000507,11.2252433925184
6,0,6,75000,0.45,1,0.119837,11.2252433925184
6,0,6,75000,0.45,2,0.238534,11.2252433925184
6,0,6,75000,0.45,3,0.3557,11.2252433925184
6,0,6,75000,0.45,4,0.468542,11.2252433925184
6,0,6,75000,0.45,5,0.56845,11.2252433925184
6,0,6,75000,0.45,6,0.644493,11.2252433925184
6,0,6,75000,0.45,7,0.692181,11.2252433925184
6,0,6,75000,0.45,8,0.702861,11.2252433925184
6,0,6,75000,0.45,9,0.706619,11.2252433925184
6,0,6,75000,0.45,10,0.712875,11.2252433925184
6,0,6,75000,0.45,11,0.721652,11.2252433925184
6,0,6,75000,0.45,12,0.73474,11.2252433925184
6,0,6,75000,0.45,13,0.748811,11.2252433925184
6,0,6,75000,0.45,14,0.764611,11.2252433925184
6,0,6,75000,0.45,15,0.779819,11.2252433925184
6,0,6,75000,0.45,16,0.798172,11.2252433925184
6,0,6,75000,0.45,17,0.812856,11.2252433925184
6,0,6,75000,0.45,18,0.831954,11.2252433925184
6,0,6,75000,0.45,19,0.846272,11.2252433925184
6,0,6,75000,0.45,20,0.863086,11.2252433925184
6,0,6,75000,0.55,-20,-0.898994,11.2252433925184
6,0,6,75000,0.55,-19,-0.881309,11.2252433925184
6,0,6,75000,0.55,-18,-0.862916,11.2252433925184
6,0,6,75000,0.55,-17,-0.844026,11.2252433925184
6,0,6,75000,0.55,-16,-0.824867,11.2252433925184
6,0,6,75000,0.55,-15,-0.805652,11.2252433925184
6,0,6,75000,0.55,-14,-0.786687,11.2252433925184
6,0,6,75000,0.55,-13,-0.768388,11.2252433925184
6,0,6,75000,0.55,-12,-0.751104,11.2252433925184
6,0,6,75000,0.55,-11,-0.735433,11.2252433925184
6,0,6,75000,0.55,-10,-0.722334,11.2252433925184
6,0,6,75000,0.55,-9,-0.71263,11.2252433925184
6,0,6,75000,0.55,-8,-0.705449,11.2252433925184
6,0,6,75000,0.55,-7,-0.698963,11.2252433925184
6,0,6,75000,0.55,-6,-0.671931,11.2252433925184
6,0,6,75000,0.55,-5,-0.600743,11.2252433925184
6,0,6,75000,0.55,-4,-0.49969,11.2252433925184
6,0,6,75000,0.55,-3,-0.38054,11.2252433925184
6,0,6,75000,0.55,-2,-0.254802,11.2252433925184
6,0,6,75000,0.55,-1,-0.127394,11.2252433925184
6,0,6,75000,0.55,0,0.000485,11.2252433925184
6,0,6,75000,0.55,1,0.128365,11.2252433925184
6,0,6,75000,0.55,2,0.255793,11.2252433925184
6,0,6,75000,0.55,3,0.381507,11.2252433925184
6,0,6,75000,0.55,4,0.500619,11.2252433925184
6,0,6,75000,0.55,5,0.601626,11.2252433925184
6,0,6,75000,0.55,6,0.672434,11.2252433925184
6,0,6,75000,0.55,7,0.699206,11.2252433925184
6,0,6,75000,0.55,8,0.704939,11.2252433925184
6,0,6,75000,0.55,9,0.711041,11.2252433925184
6,0,6,75000,0.55,10,0.719917,11.2252433925184
6,0,6,75000,0.55,11,0.733611,11.2252433925184
6,0,6,75000,0.55,12,0.749308,11.2252433925184
6,0,6,75000,0.55,13,0.766675,11.2252433925184
6,0,6,75000,0.55,14,0.784865,11.2252433925184
6,0,6,75000,0.55,15,0.803554,11.2252433925184
6,0,6,75000,0.55,16,0.8226,11.2252433925184
6,0,6,75000,0.55,17,0.841596,11.2252433925184
6,0,6,75000,0.55,18,0.860126,11.2252433925184
6,0,6,75000,0.55,19,0.878227,11.2252433925184
6,0,6,75000,0.55,20,0.896069,11.2252433925184
6,0,6,75000,0.65,-20,-0.954737,11.2252433925184
6,0,6,75000,0.65,-19,-0.934851,11.2252433925184
6,0,6,75000,0.65,-18,-0.914079,11.2252433925184
6,0,6,75000,0.65,-17,-0.892463,11.2252433925184
6,0,6,75000,0.65,-16,-0.870184,11.2252433925184
6,0,6,75000,0.65,-15,-0.847569,11.2252433925184
6,0,6,75000,0.65,-14,-0.824847,11.2252433925184
6,0,6,75000,0.65,-13,-0.802303,11.2252433925184
6,0,6,75000,0.65,-12,-0.78048,11.2252433925184
6,0,6,75000,0.65,-11,-0.760003,11.2252433925184
6,0,6,75000,0.65,-10,-0.741078,11.2252433925184
6,0,6,75000,0.65,-9,-0.725802,11.2252433925184
6,0,6,75000,0.65,-8,-0.71415,11.2252433925184
6,0,6,75000,0.65,-7,-0.707096,11.2252433925184
6,0,6,75000,0.65,-6,-0.697051,11.2252433925184
6,0,6,75000,0.65,-5,-0.651974,11.2252433925184
6,0,6,75000,0.65,-4,-0.551822,11.2252433925184
6,0,6,75000,0.65,-3,-0.422849,11.2252433925184
6,0,6,75000,0.65,-2,-0.282891,11.2252433925184
6,0,6,75000,0.65,-1,-0.141255,11.2252433925184
6,0,6,75000,0.65,0,0.000486,11.2252433925184
6,0,6,75000,0.65,1,0.142231,11.2252433925184
6,0,6,75000,0.65,2,0.283868,11.2252433925184
6,0,6,75000,0.65,3,0.423823,11.2252433925184
6,0,6,75000,0.65,4,0.552746,11.2252433925184
6,0,6,75000,0.65,5,0.652755,11.2252433925184
6,0,6,75000,0.65,6,0.698066,11.2252433925184
6,0,6,75000,0.65,7,0.707043,11.2252433925184
6,0,6,75000,0.65,8,0.713495,11.2252433925184
6,0,6,75000,0.65,9,0.725146,11.2252433925184
6,0,6,75000,0.65,10,0.739462,11.2252433925184
6,0,6,75000,0.65,11,0.757959,11.2252433925184
6,0,6,75000,0.65,12,0.778558,11.2252433925184
6,0,6,75000,0.65,13,0.800402,11.2252433925184
6,0,6,75000,0.65,14,0.822832,11.2252433925184
6,0,6,75000,0.65,15,0.845397,11.2252433925184
6,0,6,75000,0.65,16,0.867827,11.2252433925184
6,0,6,75000,0.65,17,0.889898,11.2252433925184
6,0,6,75000,0.65,18,0.911343,11.2252433925184
6,0,6,75000,0.65,19,0.931958,11.2252433925184
6,0,6,75000,0.65,20,0.951748,11.2252433925184
6,0,6,75000,0.7,-20,-0.998474,11.2252433925184
6,0,6,75000,0.7,-19,-0.977213,11.2252433925184
6,0,6,75000,0.7,-18,-0.954807,11.2252433925184
6,0,6,75000,0.7,-17,-0.931382,11.2252433925184
6,0,6,75000,0.7,-16,-0.907067,11.2252433925184
6,0,6,75000,0.7,-15,-0.882068,11.2252433925184
6,0,6,75000,0.7,-14,-0.856622,11.2252433925184
6,0,6,75000,0.7,-13,-0.831079,11.2252433925184
6,0,6,75000,0.7,-12,-0.805922,11.2252433925184
6,0,6,75000,0.7,-11,-0.781807,11.2252433925184
6,0,6,75000,0.7,-10,-0.759502,11.2252433925184
6,0,6,75000,0.7,-9,-0.740082,11.2252433925184
6,0,6,75000,0.7,-8,-0.725377,11.2252433925184
6,0,6,75000,0.7,-7,-0.714383,11.2252433925184
6,0,6,75000,0.7,-6,-0.705797,11.2252433925184
6,0,6,75000,0.7,-5,-0.687361,11.2252433925184
6,0,6,75000,0.7,-4,-0.596908,11.2252433925184
6,0,6,75000,0.7,-3,-0.456785,11.2252433925184
6,0,6,75000,0.7,-2,-0.304952,11.2252433925184
6,0,6,75000,0.7,-1,-0.151922,11.2252433925184
6,0,6,75000,0.7,0,0.000498,11.2252433925184
6,0,6,75000,0.7,1,0.152903,11.2252433925184
6,0,6,75000,0.7,2,0.305941,11.2252433925184
6,0,6,75000,0.7,3,0.457781,11.2252433925184
