This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.45,3,0.017826,11.2252433925184
6,0,6,75000,0.45,4,0.020762,11.2252433925184
6,0,6,75000,0.45,5,0.028017,11.2252433925184
6,0,6,75000,0.45,6,0.043572,11.2252433925184
6,0,6,75000,0.45,7,0.070394,11.2252433925184
6,0,6,75000,0.45,8,0.097337,11.2252433925184
6,0,6,75000,0.45,9,0.119111,11.2252433925184
6,0,6,75000,0.45,10,0.138734,11.2252433925184
6,0,6,75000,0.45,11,0.157288,11.2252433925184
6,0,6,75000,0.45,12,0.176417,11.2252433925184
6,0,6,75000,0.45,13,0.195542,11.2252433925184
6,0,6,75000,0.45,14,0.215241,11.2252433925184
6,0,6,75000,0.45,15,0.234981,11.2252433925184
6,0,6,75000,0.45,16,0.25615,11.2252433925184
6,0,6,75000,0.45,17,0.276631,11.2252433925184
6,0,6,75000,0.45,18,0.2992,11.2252433925184
6,0,6,75000,0.45,19,0.320757,11.2252433925184
6,0,6,75000,0.45,20,0.343893,11.2252433925184
6,0,6,75000,0.55,-20,0.357923,11.2252433925184
6,0,6,75000,0.55,-19,0.333844,11.2252433925184
6,0,6,75000,0.55,-18,0.310283,11.2252433925184
6,0,6,75000,0.55,-17,0.287293,11.2252433925184
6,0,6,75000,0.55,-16,0.264908,11.2252433925184
6,0,6,75000,0.55,-15,0.243134,11.2252433925184
6,0,6,75000,0.55,-14,0.221967,11.2252433925184
6,0,6,75000,0.55,-13,0.201389,11.2252433925184
6,0,6,75000,0.55,-12,0.181307,11.2252433925184
6,0,6,75000,0.55,-11,0.161574,11.2252433925184
6,0,6,75000,0.55,-10,0.142036,11.2252433925184
6,0,6,75000,0.55,-9,0.122554,11.2252433925184
6,0,6,75000,0.55,-8,0.101554,11.2252433925184
6,0,6,75000,0.55,-7,0.07725,11.2252433925184
6,0,6,75000,0.55,-6,0.049476,11.2252433925184
6,0,6,75000,0.55,-5,0.031181,11.2252433925184
6,0,6,75000,0.55,-4,0.021892,11.2252433925184
6,0,6,75000,0.55,-3,0.018128,11.2252433925184
6,0,6,75000,0.55,-2,0.016503,11.2252433925184
6,0,6,75000,0.55,-1,0.015697,11.2252433925184
6,0,6,75000,0.55,0,0.015448,11.2252433925184
6,0,6,75000,0.55,1,0.015699,11.2252433925184
6,0,6,75000,0.55,2,0.016506,11.2252433925184
6,0,6,75000,0.55,3,0.018135,11.2252433925184
6,0,6,75000,0.55,4,0.021911,11.2252433925184
6,0,6,75000,0.55,5,0.031225,11.2252433925184
6,0,6,75000,0.55,6,0.04955,11.2252433925184
6,0,6,75000,0.55,7,0.076772,11.2252433925184
6,0,6,75000,0.55,8,0.100881,11.2252433925184
6,0,6,75000,0.55,9,0.122009,11.2252433925184
6,0,6,75000,0.55,10,0.141129,11.2252433925184
6,0,6,75000,0.55,11,0.161211,11.2252433925184
6,0,6,75000,0.55,12,0.18091,11.2252433925184
6,0,6,75000,0.55,13,0.200985,11.2252433925184
6,0,6,75000,0.55,14,0.221495,11.2252433925184
6,0,6,75000,0.55,15,0.242549,11.2252433925184
