This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.45,-13,0.09489,11.2252433925184
6,0,6,75000,0.45,-12,0.089918,11.2252433925184
6,0,6,75000,0.45,-11,0.08415,11.2252433925184
6,0,6,75000,0.45,-10,0.076256,11.2252433925184
6,0,6,75000,0.45,-9,0.065748,11.2252433925184
6,0,6,75000,0.45,-8,0.046219,11.2252433925184
6,0,6,75000,0.45,-7,0.017665,11.2252433925184
6,0,6,75000,0.45,-6,-0.005072,11.2252433925184
6,0,6,75000,0.45,-5,-0.005817,11.2252433925184
6,0,6,75000,0.45,-4,-0.003506,11.2252433925184
6,0,6,75000,0.45,-3,-0.001999,11.2252433925184
6,0,6,75000,0.45,-2,-0.001109,11.2252433925184
6,0,6,75000,0.45,-1,-0.000538,11.2252433925184
6,0,6,75000,0.45,0,-0.000119,11.2252433925184
6,0,6,75000,0.45,1,0.000302,11.2252433925184
6,0,6,75000,0.45,2,0.00088,11.2252433925184
6,0,6,75000,0.45,3,0.00177,11.2252433925184
6,0,6,75000,0.45,4,0.00328,11.2252433925184
6,0,6,75000,0.45,5,0.005589,11.2252433925184
6,0,6,75000,0.45,6,0.004772,11.2252433925184
6,0,6,75000,0.45,7,-0.017904,11.2252433925184
6,0,6,75000,0.45,8,-0.048605,11.2252433925184
6,0,6,75000,0.45,9,-0.066191,11.2252433925184
6,0,6,75000,0.45,10,-0.07677,11.2252433925184
6,0,6,75000,0.45,11,-0.083745,11.2252433925184
6,0,6,75000,0.45,12,-0.08975,11.2252433925184
6,0,6,75000,0.45,13,-0.094651,11.2252433925184
6,0,6,75000,0.45,14,-0.099153,11.2252433925184
6,0,6,75000,0.45,15,-0.103146,11.2252433925184
6,0,6,75000,0.45,16,-0.107518,11.2252433925184
6,0,6,75000,0.45,17,-0.111189,11.2252433925184
6,0,6,75000,0.45,18,-0.115682,11.2252433925184
6,0,6,75000,0.45,19,-0.119414,11.2252433925184
6,0,6,75000,0.45,20,-0.123768,11.2252433925184
6,0,6,75000,0.55,-20,0.130319,11.2252433925184
6,0,6,75000,0.55,-19,0.125504,11.2252433925184
6,0,6,75000,0.55,-18,0.120718,11.2252433925184
6,0,6,75000,0.55,-17,0.115957,11.2252433925184
6,0,6,75000,0.55,-16,0.111206,11.2252433925184
6,0,6,75000,0.55,-15,0.106423,11.2252433925184
6,0,6,75000,0.55,-14,0.101539,11.2252433925184
6,0,6,75000,0.55,-13,0.096444,11.2252433925184
6,0,6,75000,0.55,-12,0.090932,11.2252433925184
6,0,6,75000,0.55,-11,0.084656,11.2252433925184
6,0,6,75000,0.55,-10,0.077132,11.2252433925184
6,0,6,75000,0.55,-9,0.067644,11.2252433925184
6,0,6,75000,0.55,-8,0.053031,11.2252433925184
6,0,6,75000,0.55,-7,0.028515,11.2252433925184
6,0,6,75000,0.55,-6,-0.001545,11.2252433925184
6,0,6,75000,0.55,-5,-0.007973,11.2252433925184
6,0,6,75000,0.55,-4,-0.00533,11.2252433925184
6,0,6,75000,0.55,-3,-0.002775,11.2252433925184
6,0,6,75000,0.55,-2,-0.001392,11.2252433925184
6,0,6,75000,0.55,-1,-0.000622,11.2252433925184
6,0,6,75000,0.55,0,-0.000113,11.2252433925184
6,0,6,75000,0.55,1,0.000397,11.2252433925184
6,0,6,75000,0.55,2,0.001165,11.2252433925184
6,0,6,75000,0.55,3,0.002556,11.2252433925184
6,0,6,75000,0.55,4,0.005119,11.2252433925184
6,0,6,75000,0.55,5,0.007753,11.2252433925184
6,0,6,75000,0.55,6,0.001287,11.2252433925184
6,0,6,75000,0.55,7,-0.027582,11.2252433925184
6,0,6,75000,0.55,8,-0.051885,11.2252433925184
