Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
3415,0.75,500000,41,0.016142,0.000384,0.019588,0.003831,1.9e-05,0.004363,0.003554,1.8e-05,0.004271
3415,0.75,1000000,41,0.014735,0.000332,0.018223,0.00408,2.1e-05,0.004584,0.003559,1.8e-05,0.004286
3415,0.75,2000000,41,0.015071,0.000347,0.018628,0.004553,2.5e-05,0.004952,0.003886,2e-05,0.004482
3415,0.75,4000000,41,0.015063,0.000348,0.018666,0.004578,2.5e-05,0.005014,0.003818,2e-05,0.004493
3415,0.75,8000000,41,0.015939,0.00039,0.019748,0.004153,2.5e-05,0.00504,0.00367,2.1e-05,0.004554
3415,0.8,75000,41,0.012037,0.000212,0.014572,0.002714,1e-05,0.003227,0.003897,2e-05,0.004425
3415,0.8,125000,41,0.013492,0.000275,0.016568,0.002398,8e-06,0.002905,0.005383,3.8e-05,0.006195
3415,0.8,250000,41,0.013009,0.000244,0.015605,0.002694,9e-06,0.003031,0.005685,4.2e-05,0.006465
3415,0.8,500000,41,0.014117,0.000307,0.017519,0.002059,7e-06,0.002557,0.004927,3.9e-05,0.006261
3415,0.8,1000000,41,0.011791,0.000222,0.014885,0.00234,8e-06,0.002779,0.004647,3.2e-05,0.005614
3415,0.8,2000000,41,0.011003,0.000208,0.01441,0.002562,9e-06,0.003074,0.004314,2.9e-05,0.005361
3415,0.8,4000000,41,0.01139,0.000227,0.015078,0.00261,1e-05,0.003215,0.004662,3.3e-05,0.00574
3415,0.8,8000000,41,0.013329,0.000293,0.017128,0.00308,1.4e-05,0.00372,0.004526,3e-05,0.00552
3415,0.85,75000,41,0.020442,0.000899,0.029976,0.003869,2.2e-05,0.004705,0.006191,7.8e-05,0.008826
3415,0.85,125000,41,0.019607,0.000627,0.025035,0.003563,1.8e-05,0.004219,0.007499,8.3e-05,0.009121
3415,0.85,250000,41,0.020711,0.000699,0.026432,0.003561,1.8e-05,0.004287,0.007173,8.8e-05,0.009403
3415,0.85,500000,41,0.020006,0.000589,0.024277,0.003869,2.1e-05,0.004535,0.006406,6e-05,0.007752
3415,0.85,1000000,41,0.015238,0.000333,0.01826,0.003861,2.2e-05,0.004706,0.005671,4.4e-05,0.006628
3415,0.85,2000000,41,0.016105,0.000386,0.019652,0.003639,1.8e-05,0.004234,0.005849,5e-05,0.007039
3415,0.85,4000000,41,0.016696,0.000417,0.020432,0.004317,2.4e-05,0.004907,0.005597,4.3e-05,0.006558
3415,0.85,8000000,41,0.019057,0.000567,0.023814,0.004663,2.7e-05,0.005219,0.005286,4.2e-05,0.006514
3415,0.9,75000,41,0.010895,0.00023,0.015179,0.006354,6.1e-05,0.007787,0.005968,5.8e-05,0.00762
3415,0.9,125000,41,0.011985,0.000272,0.016499,0.006333,5.7e-05,0.00755,0.006723,7.3e-05,0.008557
3415,0.9,250000,41,0.012071,0.000248,0.015749,0.005669,4.5e-05,0.006674,0.005397,4.6e-05,0.006802
3415,0.9,500000,41,0.014557,0.000366,0.01914,0.006262,5.4e-05,0.007372,0.006122,5.5e-05,0.007384
3415,0.9,1000000,41,0.017101,0.000524,0.022887,0.005739,5e-05,0.007075,0.004846,4.4e-05,0.006612
3415,0.9,2000000,41,0.015556,0.000455,0.021323,0.005677,4.8e-05,0.006904,0.004032,3e-05,0.005501
3415,0.9,4000000,41,0.015406,0.000443,0.021049,0.005838,5.6e-05,0.00748,0.003934,2.9e-05,0.005369
3415,0.9,8000000,41,0.018865,0.000687,0.026218,0.005071,4.7e-05,0.00682,0.004856,4.5e-05,0.006733
3418,0.25,75000,41,0.024378,0.001923,0.043857,0.005399,8.5e-05,0.00922,0.004866,4.9e-05,0.006971
3418,0.25,125000,41,0.022402,0.001107,0.033278,0.005493,6.1e-05,0.007806,0.004408,2.5e-05,0.004986
3418,0.25,250000,41,0.018496,0.000585,0.024186,0.003403,1.8e-05,0.004301,0.0034,1.6e-05,0.004032
3418,0.25,500000,41,0.012052,0.000221,0.014863,0.003338,1.7e-05,0.004177,0.002691,1e-05,0.003159
3418,0.25,1000000,41,0.011453,0.000243,0.015588,0.004381,2.7e-05,0.005176,0.002265,7e-06,0.002736
3418,0.25,2000000,41,0.011731,0.000264,0.016236,0.004471,2.8e-05,0.005277,0.002518,9e-06,0.002938
3418,0.25,4000000,41,0.012564,0.000248,0.015756,0.004202,2.3e-05,0.00476,0.002462,8e-06,0.002856
3418,0.25,8000000,41,0.012383,0.000242,0.015545,0.004905,2.9e-05,0.00541,0.002221,7e-06,0.002614
3418,0.35,75000,41,0.018237,0.000527,0.022953,0.003608,2.4e-05,0.004889,0.003378,2.3e-05,0.004785
3418,0.35,125000,41,0.024502,0.001382,0.037177,0.005085,5e-05,0.007075,0.002699,1e-05,0.003237
3418,0.35,250000,41,0.022743,0.000801,0.028304,0.003763,5.9e-05,0.007692,0.002758,3e-05,0.005495
3418,0.35,500000,41,0.019387,0.000605,0.024606,0.001627,4e-06,0.001986,0.002069,6e-06,0.002518
3418,0.35,1000000,41,0.014372,0.000377,0.019409,0.002277,8e-06,0.002785,0.001709,4e-06,0.00209
3418,0.35,2000000,41,0.015688,0.000414,0.020358,0.002188,8e-06,0.00277,0.002256,7e-06,0.002676
3418,0.35,4000000,41,0.013837,0.000376,0.01938,0.002506,1e-05,0.003157,0.002387,7e-06,0.002712
3418,0.35,8000000,41,0.017029,0.00049,0.022138,0.003344,1.6e-05,0.00402,0.002636,9e-06,0.002933
3418,0.45,75000,41,0.021793,0.000633,0.025155,0.002896,1.7e-05,0.004099,0.003262,2e-05,0.004519
3418,0.45,125000,41,0.020153,0.000696,0.026376,0.003604,1.9e-05,0.004383,0.002457,9e-06,0.003
3418,0.45,250000,41,0.017118,0.000492,0.022177,0.003445,4.1e-05,0.006396,0.002175,7e-06,0.002728
3418,0.45,500000,41,0.020867,0.000683,0.026131,0.003066,4.4e-05,0.006626,0.00264,2.2e-05,0.004677
3418,0.45,1000000,41,0.018293,0.000549,0.023437,0.002921,1.2e-05,0.003413,0.002091,7e-06,0.002684
3418,0.45,2000000,41,0.021835,0.000677,0.026021,0.003325,1.5e-05,0.003875,0.002659,1e-05,0.003226
3418,0.45,4000000,41,0.018646,0.000574,0.023959,0.003009,1.2e-05,0.003524,0.002516,1e-05,0.003134
3418,0.45,8000000,41,0.021199,0.000761,0.027578,0.003115,1.4e-05,0.003767,0.002719,1.2e-05,0.00344
3418,0.55,75000,41,0.025638,0.00095,0.030827,0.00485,4.1e-05,0.006419,0.003695,2.1e-05,0.004606
3418,0.55,125000,41,0.012524,0.000262,0.016179,0.00367,2e-05,0.004452,0.002693,1.2e-05,0.003465
3418,0.55,250000,41,0.014659,0.000352,0.018768,0.003819,2e-05,0.004465,0.003032,1.5e-05,0.003874
3418,0.55,500000,41,0.016758,0.000454,0.021313,0.002608,1e-05,0.003122,0.00251,1e-05,0.003174
3418,0.55,1000000,41,0.019894,0.000551,0.02347,0.003295,1.6e-05,0.004039,0.002494,1.1e-05,0.003335
3418,0.55,2000000,41,0.025566,0.001001,0.031631,0.004585,4.3e-05,0.006546,0.003022,1.5e-05,0.003844
3418,0.55,4000000,41,0.019863,0.000565,0.023764,0.00341,1.8e-05,0.004195,0.003066,1.4e-05,0.003755
3418,0.55,8000000,41,0.018469,0.000498,0.022317,0.003042,1.3e-05,0.003609,0.003258,1.5e-05,0.003845
3418,0.65,75000,41,0.018783,0.000691,0.026296,0.003539,2.1e-05,0.004558,0.002333,9e-06,0.003013
3418,0.65,125000,41,0.024832,0.001132,0.033639,0.003622,2.7e-05,0.005171,0.002598,1.1e-05,0.003338
3418,0.65,250000,41,0.023023,0.001008,0.031746,0.005227,4e-05,0.006303,0.002969,1.5e-05,0.003881
3418,0.65,500000,41,0.018049,0.000553,0.023524,0.004118,2.3e-05,0.004782,0.002643,1.2e-05,0.003428
3418,0.65,1000000,41,0.015311,0.000339,0.018399,0.00402,2.1e-05,0.004567,0.003244,1.4e-05,0.003804
3418,0.65,2000000,41,0.017195,0.00042,0.020501,0.004248,2.3e-05,0.004843,0.003149,1.4e-05,0.003791
3418,0.65,4000000,41,0.01383,0.000287,0.016955,0.00404,2.2e-05,0.00465,0.002896,1.3e-05,0.003538
3418,0.65,8000000,41,0.013042,0.000324,0.01799,0.003903,2e-05,0.004448,0.002742,1.1e-05,0.003259
3418,0.7,75000,41,0.013974,0.000478,0.021874,0.00302,1.5e-05,0.003923,0.001965,8e-06,0.002884
3418,0.7,125000,41,0.014886,0.000498,0.022321,0.003436,2.3e-05,0.004799,0.002348,1.1e-05,0.003341
3418,0.7,250000,41,0.015616,0.000487,0.022075,0.004237,3e-05,0.005441,0.002466,1.1e-05,0.00333
3418,0.7,500000,41,0.016609,0.000458,0.02141,0.00379,2.3e-05,0.004825,0.002336,1e-05,0.003215
