Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
4415,0.8,2000000,41,0.016666,0.000586,0.024208,0.00309,1.7e-05,0.004098,0.00265,1.3e-05,0.00361
4415,0.8,4000000,41,0.017315,0.000576,0.023995,0.003171,1.6e-05,0.003973,0.003123,1.7e-05,0.00417
4415,0.8,8000000,41,0.015925,0.000467,0.021602,0.002764,1.2e-05,0.003427,0.003466,2.5e-05,0.00504
4415,0.85,75000,41,0.02027,0.001264,0.035557,0.004119,2.5e-05,0.00499,0.00677,0.000157,0.012538
4415,0.85,125000,41,0.017669,0.000998,0.031589,0.003768,2.4e-05,0.004875,0.007701,0.000154,0.012422
4415,0.85,250000,41,0.016192,0.000941,0.030672,0.003931,2.9e-05,0.005408,0.007388,0.000173,0.013161
4415,0.85,500000,41,0.017353,0.000919,0.030318,0.004232,3.2e-05,0.005627,0.006793,0.000158,0.012566
4415,0.85,1000000,41,0.012576,0.000557,0.023591,0.005169,3.8e-05,0.006183,0.006316,0.000141,0.011887
4415,0.85,2000000,41,0.014183,0.000525,0.022923,0.005191,4e-05,0.006338,0.006402,0.000144,0.012017
4415,0.85,4000000,41,0.013914,0.00052,0.022795,0.004987,3.7e-05,0.006078,0.006338,0.000136,0.011643
4415,0.85,8000000,41,0.01605,0.000636,0.025218,0.004262,2.6e-05,0.005094,0.006543,0.000131,0.011445
4415,0.9,75000,41,0.010883,0.000255,0.015982,0.005107,4.3e-05,0.006594,0.004362,5e-05,0.007098
4415,0.9,125000,41,0.011438,0.000284,0.016856,0.004538,3.5e-05,0.005916,0.004888,6.3e-05,0.007934
4415,0.9,250000,41,0.010443,0.000237,0.015395,0.004481,3.1e-05,0.005573,0.004076,4.6e-05,0.006769
4415,0.9,500000,41,0.009547,0.000237,0.015394,0.004276,3.1e-05,0.005561,0.003865,4.5e-05,0.006737
4415,0.9,1000000,41,0.013569,0.00093,0.030491,0.005307,7.6e-05,0.008729,0.004501,7.9e-05,0.008884
4415,0.9,2000000,41,0.012935,0.000298,0.017271,0.004377,2.8e-05,0.005337,0.003916,4.1e-05,0.006399
4415,0.9,4000000,41,0.012323,0.000288,0.016978,0.004497,3.3e-05,0.005715,0.003901,4.4e-05,0.006609
4415,0.9,8000000,41,0.010487,0.000256,0.016,0.004958,3.7e-05,0.006067,0.00382,4.5e-05,0.006711
4421,0.25,75000,41,0.036164,0.003338,0.057775,0.005663,8.6e-05,0.009252,0.003464,3.6e-05,0.005994
4421,0.25,125000,41,0.03359,0.001952,0.044178,0.006215,6.1e-05,0.007786,0.002288,9e-06,0.003021
4421,0.25,250000,41,0.020494,0.000675,0.025988,0.0038,2e-05,0.004486,0.002858,1.2e-05,0.003522
4421,0.25,500000,41,0.024192,0.001039,0.032231,0.005387,4.4e-05,0.006608,0.002641,1.3e-05,0.003561
4421,0.25,1000000,41,0.026205,0.001004,0.031679,0.005518,4.7e-05,0.00682,0.002573,1e-05,0.003086
4421,0.25,2000000,41,0.025307,0.000903,0.030047,0.005293,4.3e-05,0.006571,0.002787,1.1e-05,0.00331
4421,0.25,4000000,41,0.025856,0.000996,0.031567,0.005434,4.7e-05,0.006832,0.002823,1.1e-05,0.003365
4421,0.25,8000000,41,0.02664,0.001065,0.032629,0.006221,5.5e-05,0.00739,0.002721,1.1e-05,0.003386
4421,0.35,75000,41,0.03607,0.002897,0.053819,0.003281,3.8e-05,0.006184,0.003035,2.6e-05,0.005086
4421,0.35,125000,41,0.033962,0.002143,0.046296,0.005173,4.4e-05,0.006644,0.001994,7e-06,0.002552
4421,0.35,250000,41,0.028648,0.001374,0.03707,0.003857,2.8e-05,0.005313,0.002658,1.3e-05,0.003585
4421,0.35,500000,41,0.022981,0.000847,0.029098,0.003262,1.5e-05,0.003887,0.002371,1e-05,0.003103
4421,0.35,1000000,41,0.020118,0.000688,0.026223,0.003643,1.9e-05,0.004367,0.002296,7e-06,0.002722
4421,0.35,2000000,41,0.019594,0.000577,0.024021,0.00351,1.7e-05,0.004117,0.002526,9e-06,0.003013
4421,0.35,4000000,41,0.01994,0.000726,0.026952,0.004114,2.5e-05,0.004983,0.002516,9e-06,0.003053
4421,0.35,8000000,41,0.020225,0.000775,0.02784,0.005029,3.5e-05,0.005938,0.002637,1e-05,0.003224
4421,0.45,75000,41,0.027412,0.001154,0.033978,0.003001,1.6e-05,0.003977,0.00322,1.7e-05,0.004084
4421,0.45,125000,41,0.033792,0.002436,0.049358,0.006311,6.3e-05,0.007953,0.00283,1.2e-05,0.003453
4421,0.45,250000,41,0.032883,0.001773,0.042102,0.005155,5e-05,0.007063,0.002723,1.2e-05,0.003486
4421,0.45,500000,41,0.02562,0.000959,0.03096,0.003578,1.9e-05,0.004337,0.00282,1.2e-05,0.003417
4421,0.45,1000000,41,0.021189,0.000785,0.028014,0.003642,1.7e-05,0.004139,0.00201,5e-06,0.002304
4421,0.45,2000000,41,0.017147,0.000461,0.021482,0.003149,1.3e-05,0.003573,0.002389,8e-06,0.002834
4421,0.45,4000000,41,0.022333,0.000752,0.027416,0.003776,1.8e-05,0.004208,0.002385,8e-06,0.002817
4421,0.45,8000000,41,0.026626,0.000899,0.029979,0.00459,2.5e-05,0.005003,0.002648,1.1e-05,0.003281
4421,0.55,75000,41,0.020909,0.000535,0.023125,0.004442,3.2e-05,0.005662,0.003005,1.3e-05,0.003661
4421,0.55,125000,41,0.031747,0.001742,0.041741,0.007197,7.5e-05,0.008651,0.003412,1.5e-05,0.003827
4421,0.55,250000,41,0.023768,0.000797,0.028226,0.005234,5e-05,0.007097,0.003225,1.5e-05,0.003842
4421,0.55,500000,41,0.019439,0.000484,0.022008,0.003757,2.4e-05,0.004876,0.002578,1.1e-05,0.003271
4421,0.55,1000000,41,0.019351,0.000561,0.023687,0.004118,2.2e-05,0.004668,0.001706,4e-06,0.002102
4421,0.55,2000000,41,0.014235,0.00034,0.018443,0.003818,1.9e-05,0.004311,0.001951,6e-06,0.00237
4421,0.55,4000000,41,0.018617,0.000535,0.02312,0.00397,2.1e-05,0.004601,0.001987,6e-06,0.002411
4421,0.55,8000000,41,0.021957,0.000766,0.027669,0.004624,3.1e-05,0.005611,0.002144,7e-06,0.002591
4421,0.65,75000,41,0.013577,0.000288,0.016971,0.004524,2.9e-05,0.005393,0.00316,1.2e-05,0.003524
4421,0.65,125000,41,0.020698,0.00049,0.02214,0.005277,4.4e-05,0.006626,0.00269,1e-05,0.003111
4421,0.65,250000,41,0.027886,0.001436,0.03789,0.006461,0.000102,0.010097,0.003568,4.2e-05,0.006507
4421,0.65,500000,41,0.023316,0.000796,0.028211,0.004655,3.3e-05,0.005775,0.00293,1.6e-05,0.003949
4421,0.65,1000000,41,0.020744,0.000591,0.024303,0.004818,3.1e-05,0.005563,0.002138,8e-06,0.002783
4421,0.65,2000000,41,0.018486,0.000485,0.022023,0.004783,3.1e-05,0.005561,0.00249,1.2e-05,0.003415
4421,0.65,4000000,41,0.018814,0.000509,0.022564,0.004804,3.2e-05,0.005636,0.002489,1.1e-05,0.00338
4421,0.65,8000000,41,0.018644,0.000504,0.022453,0.005714,4.2e-05,0.006448,0.002983,1.4e-05,0.003727
4421,0.7,75000,41,0.023444,0.000802,0.028321,0.00558,4.8e-05,0.006957,0.002709,1.1e-05,0.003369
4421,0.7,125000,41,0.024823,0.001084,0.03292,0.00632,6.5e-05,0.008045,0.003226,1.7e-05,0.004162
4421,0.7,250000,41,0.017555,0.000671,0.025913,0.005584,5e-05,0.007075,0.002471,1.2e-05,0.00347
4421,0.7,500000,41,0.018653,0.000516,0.02272,0.004826,3.9e-05,0.006206,0.002732,1.4e-05,0.003803
4421,0.7,1000000,41,0.020553,0.000599,0.024473,0.004523,3.4e-05,0.0058,0.00305,1.4e-05,0.003779
4421,0.7,2000000,41,0.020518,0.000613,0.024756,0.004434,3.1e-05,0.005612,0.003081,1.6e-05,0.00394
4421,0.7,4000000,41,0.020162,0.000598,0.024452,0.004596,3.3e-05,0.005716,0.00304,1.5e-05,0.003871
4421,0.7,8000000,41,0.016878,0.000449,0.021186,0.005109,3.9e-05,0.006268,0.003257,1.7e-05,0.004072
4421,0.75,75000,41,0.02125,0.000626,0.025013,0.005762,5.5e-05,0.0074,0.005048,3.8e-05,0.006151
4421,0.75,125000,41,0.016148,0.000415,0.020373,0.006179,6e-05,0.007774,0.003695,1.9e-05,0.004339
4421,0.75,250000,41,0.01361,0.000301,0.017339,0.006229,5.6e-05,0.007494,0.003599,1.9e-05,0.004364
4421,0.75,500000,41,0.019362,0.000569,0.023857,0.005727,4.9e-05,0.007004,0.003919,2.2e-05,0.004706
4421,0.75,1000000,41,0.0182,0.000535,0.023121,0.005486,4.9e-05,0.006969,0.003362,1.4e-05,0.003771
4421,0.75,2000000,41,0.019355,0.000578,0.02405,0.005603,4.7e-05,0.006889,0.003783,1.9e-05,0.004321
4421,0.75,4000000,41,0.019743,0.000557,0.023599,0.005925,5e-05,0.007049,0.003715,1.8e-05,0.004224
4421,0.75,8000000,41,0.018365,0.000504,0.022444,0.005805,5.2e-05,0.007184,0.003767,1.8e-05,0.004292
4421,0.8,75000,41,0.025358,0.0011,0.033171,0.005087,5.7e-05,0.007552,0.00645,5.7e-05,0.007555
4421,0.8,125000,41,0.024165,0.001324,0.036392,0.004883,5.6e-05,0.007468,0.005852,6.6e-05,0.008114
4421,0.8,250000,41,0.025217,0.001236,0.035161,0.004951,4.6e-05,0.006803,0.006615,7e-05,0.008379
4421,0.8,500000,41,0.025156,0.001071,0.032732,0.005146,5e-05,0.007106,0.005164,3.9e-05,0.006259
4421,0.8,1000000,41,0.022163,0.000864,0.029395,0.004518,3.9e-05,0.00624,0.004461,2.9e-05,0.005345
4421,0.8,2000000,41,0.021579,0.000832,0.028841,0.004534,3.4e-05,0.00579,0.004268,2.8e-05,0.005274
4421,0.8,4000000,41,0.021714,0.000937,0.03061,0.004627,3.5e-05,0.005904,0.00362,2.5e-05,0.004986
4421,0.8,8000000,41,0.019172,0.000711,0.02667,0.004456,3.5e-05,0.005883,0.003038,1.7e-05,0.004126
4421,0.85,75000,41,0.026478,0.001224,0.034981,0.006342,5.3e-05,0.007254,0.004582,3.3e-05,0.005748
4421,0.85,125000,41,0.028857,0.00156,0.039493,0.006058,5.1e-05,0.007114,0.004654,4.9e-05,0.006982
4421,0.85,250000,41,0.027643,0.001506,0.038804,0.006146,5.5e-05,0.007407,0.0047,5.8e-05,0.007619
4421,0.85,500000,41,0.029693,0.001694,0.041163,0.007571,7.7e-05,0.008787,0.004437,4.9e-05,0.007019
4421,0.85,1000000,41,0.028224,0.00158,0.039751,0.007341,7.8e-05,0.00882,0.00443,3.8e-05,0.006188
4421,0.85,2000000,41,0.026832,0.001437,0.037904,0.006374,5.7e-05,0.007573,0.004498,3.6e-05,0.006027
4421,0.85,4000000,41,0.025943,0.001325,0.036401,0.006508,6e-05,0.007746,0.004218,3.5e-05,0.005929
4421,0.85,8000000,41,0.025589,0.001188,0.034469,0.006484,5.9e-05,0.00766,0.004278,2.9e-05,0.005355
4421,0.9,75000,41,0.027344,0.001012,0.031816,0.010297,0.000128,0.011298,0.004372,2.9e-05,0.005385
4421,0.9,125000,41,0.026103,0.000939,0.030644,0.009911,0.000119,0.010899,0.003203,1.7e-05,0.004143
4421,0.9,250000,41,0.023142,0.000762,0.027608,0.009497,0.000109,0.010417,0.004458,2.9e-05,0.00541
4421,0.9,500000,41,0.023536,0.000791,0.028134,0.009623,0.000112,0.010584,0.003952,2.4e-05,0.004889
4421,0.9,1000000,41,0.026521,0.001179,0.034339,0.010094,0.000145,0.012057,0.005169,7.8e-05,0.00883
4421,0.9,2000000,41,0.02401,0.000947,0.030775,0.009617,0.00011,0.010492,0.003855,2e-05,0.00452
4421,0.9,4000000,41,0.02378,0.000936,0.030598,0.009521,0.00011,0.010506,0.003975,2.4e-05,0.004856
4421,0.9,8000000,41,0.027079,0.000984,0.031371,0.009434,0.000111,0.01054,0.004541,3e-05,0.005456
